DIY SpaceMouse guided capture
port=/dev/cu.usbmodem2101
baud=115200
duration_s=6.0

Paste these blocks back to me after recording each movement

[center_free]
instruction=Leave the cap centered and do not press Z.
start_s=5.459, end_s=11.464, duration_s=6.004, samples=1161
x: start=0.0980, end=0.3920, delta=0.2940, min=0.0000, max=0.4900, mean=0.2598, span=0.4900
y: start=-0.0980, end=0.0000, delta=0.0980, min=-0.3920, max=0.0980, mean=-0.1415, span=0.4900
z: start=4.0180, end=3.9200, delta=-0.0980, min=3.6260, max=4.2140, mean=3.9617, span=0.5880
raw_samples:
  5.459s 098000,3.920000
  5.481s 0.196000,-0.196000,3.920000
  5.481s 0.196000,-0.098000,3.920000
  5.481s 0.098000,-0.294000,3.822000
  5.481s 0.294000,-0.196000,3.920000
  5.481s 0.294000,-0.098000,3.920000
  5.481s 0.294000,-0.098000,3.920000
  5.481s 0.196000,-0.196000,3.724000
  5.481s 0.196000,-0.196000,3.822000
  5.482s 0.196000,-0.098000,4.116000
  5.482s 0.294000,-0.196000,4.018000
  5.482s 0.392000,-0.098000,3.822000
  5.482s 0.196000,-0.098000,3.822000
  5.482s 0.392000,-0.196000,3.822000
  5.482s 0.196000,-0.098000,4.018000
  5.482s 0.294000,-0.098000,3.822000
  5.482s 0.294000,-0.196000,3.920000
  5.482s 0.000000,-0.196000,4.018000
  5.483s 0.294000,-0.196000,4.018000
  5.483s 0.294000,-0.098000,3.822000
  5.483s 0.196000,-0.196000,4.018000
  5.483s 0.196000,-0.098000,3.920000
  5.483s 0.294000,-0.196000,4.018000
  5.483s 0.196000,0.000000,3.724000
  5.483s 0.294000,-0.196000,3.920000
  5.483s 0.196000,-0.196000,3.920000
  5.484s 0.294000,-0.098000,4.116000
  5.484s 0.196000,-0.196000,3.920000
  5.484s 0.294000,-0.196000,4.018000
  5.484s 0.294000,-0.196000,4.116000
  5.484s 0.294000,-0.098000,3.920000
  5.484s 0.392000,-0.098000,3.920000
  5.484s 0.294000,-0.098000,3.920000
  5.484s 0.294000,-0.098000,4.018000
  5.484s 0.294000,0.000000,4.018000
  5.485s 0.196000,-0.098000,3.920000
  5.485s 0.294000,-0.098000,4.116000
  5.485s 0.196000,-0.196000,3.920000
  5.485s 0.196000,0.000000,3.920000
  5.485s 0.392000,-0.196000,3.920000
  5.485s 0.294000,-0.196000,3.920000
  5.485s 0.196000,-0.098000,3.822000
  5.485s 0.294000,0.000000,3.920000
  5.485s 0.294000,-0.196000,4.018000
  5.486s 0.196000,-0.098000,4.018000
  5.486s 0.196000,-0.196000,3.920000
  5.486s 0.294000,0.098000,3.822000
  5.486s 0.392000,-0.196000,4.018000
  5.486s 0.294000,-0.196000,3.822000
  5.486s 0.294000,-0.196000,3.920000
  5.486s 0.294000,0.000000,3.822000
  5.486s 0.196000,-0.294000,4.018000
  5.486s 0.196000,-0.098000,3.822000
  5.487s 0.294000,-0.098000,3.822000
  5.487s 0.196000,-0.098000,4.018000
  5.487s 0.196000,0.000000,4.018000
  5.487s 0.098000,-0.196000,4.018000
  5.487s 0.098000,-0.196000,3.920000
  5.487s 0.196000,-0.098000,4.018000
  5.487s 0.196000,-0.196000,4.116000
  5.487s 0.098000,-0.098000,3.920000
  5.487s 0.196000,-0.196000,4.116000
  5.487s 0.196000,-0.098000,4.116000
  5.488s 0.294000,0.000000,4.018000
  5.488s 0.294000,-0.098000,4.116000
  5.488s 0.196000,-0.294000,3.920000
  5.488s 0.294000,-0.098000,3.920000
  5.488s 0.392000,-0.098000,4.018000
  5.488s 0.196000,-0.098000,4.018000
  5.488s 0.196000,-0.098000,4.018000
  5.488s 0.098000,-0.098000,3.920000
  5.488s 0.392000,-0.098000,4.018000
  5.488s 0.196000,-0.098000,3.822000
  5.489s 0.294000,-0.098000,3.920000
  5.489s 0.196000,-0.098000,4.018000
  5.489s 0.294000,0.000000,3.822000
  5.489s 0.196000,-0.294000,3.920000
  5.489s 0.294000,-0.098000,4.018000
  5.489s 0.294000,-0.098000,4.018000
  5.489s 0.294000,-0.098000,4.116000
  5.489s 0.196000,-0.098000,3.920000
  5.489s 0.392000,-0.196000,3.920000
  5.489s 0.294000,-0.098000,4.116000
  5.490s 0.294000,-0.294000,3.724000
  5.490s 0.294000,-0.098000,4.116000
  5.490s 0.392000,-0.196000,3.920000
  5.490s 0.294000,-0.098000,4.018000
  5.490s 0.196000,-0.098000,3.822000
  5.490s 0.294000,-0.196000,3.920000
  5.490s 0.294000,-0.098000,3.920000
  5.490s 0.196000,-0.196000,4.018000
  5.490s 0.294000,-0.098000,3.920000
  5.490s 0.490000,-0.098000,4.116000
  5.490s 0.294000,-0.196000,3.920000
  5.491s 0.196000,-0.294000,4.018000
  5.491s 0.098000,-0.196000,4.018000
  5.491s 0.294000,-0.196000,4.018000
  5.491s 0.294000,-0.098000,4.018000
  5.491s 0.294000,-0.196000,3.822000
  5.491s 0.294000,-0.196000,4.018000
  5.491s 0.196000,-0.098000,4.018000
  5.491s 0.196000,-0.196000,4.018000
  5.491s 0.196000,-0.294000,4.018000
  5.491s 0.294000,-0.196000,4.018000
  5.492s 0.196000,-0.098000,4.018000
  5.492s 0.196000,-0.196000,3.920000
  5.492s 0.196000,-0.196000,3.920000
  5.492s 0.196000,-0.196000,3.920000
  5.492s 0.294000,-0.098000,4.018000
  5.492s 0.196000,-0.098000,4.018000
  5.492s 0.196000,0.098000,4.018000
  5.492s 0.196000,-0.196000,3.822000
  5.492s 0.392000,-0.196000,3.920000
  5.493s 0.294000,-0.098000,3.920000
  5.493s 0.196000,-0.098000,3.920000
  5.493s 0.196000,-0.098000,3.822000
  5.493s 0.196000,0.000000,3.920000
  5.493s 0.196000,-0.196000,3.822000
  5.493s 0.392000,-0.196000,3.920000
  5.493s 0.392000,-0.196000,4.018000
  5.493s 0.196000,-0.098000,4.018000
  5.493s 0.294000,-0.294000,3.920000
  5.493s 0.196000,-0.196000,4.018000
  5.494s 0.294000,-0.098000,4.018000
  5.494s 0.392000,-0.098000,3.920000
  5.494s 0.294000,-0.098000,3.822000
  5.494s 0.294000,-0.196000,3.822000
  5.494s 0.000000,-0.196000,3.822000
  5.494s 0.196000,-0.196000,4.018000
  5.494s 0.294000,-0.098000,3.822000
  5.494s 0.196000,-0.196000,4.116000
  5.494s 0.392000,-0.196000,3.920000
  5.494s 0.196000,-0.098000,4.214000
  5.494s 0.196000,-0.098000,3.724000
  5.494s 0.196000,-0.196000,4.018000
  5.495s 0.392000,0.098000,3.822000
  5.495s 0.294000,0.000000,3.920000
  5.495s 0.294000,-0.098000,3.920000
  5.495s 0.294000,-0.098000,4.018000
  5.495s 0.294000,-0.196000,4.018000
  5.495s 0.294000,-0.098000,3.920000
  5.495s 0.294000,-0.196000,3.822000
  5.495s 0.294000,-0.196000,4.018000
  5.495s 0.294000,-0.098000,4.018000
  5.495s 0.294000,-0.196000,3.822000
  5.495s 0.392000,-0.196000,3.822000
  5.496s 0.098000,-0.196000,4.018000
  5.496s 0.294000,0.000000,3.724000
  5.496s 0.196000,-0.196000,3.920000
  5.496s 0.294000,-0.098000,4.018000
  5.496s 0.294000,-0.294000,3.920000
  5.496s 0.294000,-0.196000,3.822000
  5.496s 0.196000,-0.098000,4.018000
  5.496s 0.294000,-0.098000,3.920000
  5.496s 0.392000,-0.196000,3.724000
  5.496s 0.392000,-0.098000,3.920000
  5.496s 0.196000,-0.098000,3.920000
  5.497s 0.392000,-0.196000,3.920000
  5.497s 0.294000,-0.098000,3.920000
  5.497s 0.392000,-0.098000,4.018000
  5.497s 0.294000,0.000000,3.920000
  5.497s 0.196000,-0.294000,3.920000
  5.497s 0.294000,-0.196000,4.018000
  5.497s 0.294000,-0.196000,4.018000
  5.497s 0.294000,0.098000,4.018000
  5.497s 0.392000,-0.098000,3.822000
  5.497s 0.294000,-0.098000,4.116000
  5.497s 0.196000,-0.196000,4.116000
  5.497s 0.196000,0.000000,4.018000
  5.498s 0.392000,-0.392000,3.822000
  5.498s 0.294000,-0.196000,3.920000
  5.498s 0.294000,-0.098000,3.920000
  5.498s 0.196000,-0.098000,4.018000
  5.498s 0.196000,0.000000,3.724000
  5.498s 0.294000,0.000000,3.920000
  5.498s 0.294000,-0.098000,4.116000
  5.498s 0.294000,-0.098000,3.920000
  5.498s 0.294000,0.000000,4.018000
  5.498s 0.098000,0.000000,3.920000
  5.498s 0.196000,-0.196000,3.920000
  5.498s 0.098000,-0.098000,4.018000
  5.499s 0.098000,-0.196000,4.116000
  5.499s 0.294000,-0.098000,4.116000
  5.499s 0.294000,-0.196000,3.724000
  5.499s 0.294000,-0.098000,4.018000
  5.499s 0.294000,0.000000,3.920000
  5.499s 0.098000,-0.196000,4.018000
  5.499s 0.098000,0.098000,4.018000
  5.499s 0.294000,-0.294000,4.116000
  5.499s 0.392000,-0.098000,4.018000
  5.499s 0.196000,-0.098000,4.018000
  5.499s 0.294000,-0.196000,3.920000
  5.499s 0.294000,-0.196000,3.920000
  5.500s 0.196000,-0.196000,3.920000
  5.500s 0.392000,-0.196000,3.920000
  5.500s 0.098000,-0.294000,3.822000
  5.500s 0.294000,-0.098000,3.920000
  5.500s 0.196000,-0.196000,3.920000
  5.500s 0.294000,-0.196000,3.920000
  5.500s 0.098000,-0.196000,4.018000
  5.500s 0.294000,-0.196000,4.018000
  5.500s 0.294000,-0.196000,4.018000
  5.500s 0.294000,-0.196000,4.018000
  5.500s 0.294000,-0.196000,4.018000
  5.500s 0.294000,-0.098000,3.920000
  5.501s 0.294000,-0.098000,3.822000
  5.501s 0.196000,-0.196000,4.018000
  5.501s 0.196000,0.000000,3.822000
  5.501s 0.098000,-0.098000,3.920000
  5.501s 0.196000,-0.294000,3.920000
  5.501s 0.294000,0.000000,3.920000
  5.501s 0.196000,-0.098000,4.018000
  5.501s 0.392000,-0.196000,4.116000
  5.501s 0.294000,-0.196000,4.116000
  5.501s 0.196000,-0.098000,3.920000
  5.501s 0.294000,-0.098000,3.920000
  5.501s 0.294000,-0.098000,4.018000
  5.501s 0.294000,0.000000,3.822000
  5.502s 0.294000,-0.098000,4.018000
  5.502s 0.098000,0.000000,3.920000
  5.502s 0.294000,-0.098000,3.822000
  5.502s 0.196000,0.000000,3.920000
  5.502s 0.294000,-0.196000,3.920000
  5.502s 0.196000,-0.196000,4.018000
  5.502s 0.294000,-0.196000,4.018000
  5.502s 0.196000,-0.196000,4.018000
  5.502s 0.294000,-0.196000,3.920000
  5.502s 0.294000,-0.196000,3.822000
  5.502s 0.392000,-0.098000,3.724000
  5.502s 0.294000,-0.196000,4.018000
  5.503s 0.196000,-0.196000,4.214000
  5.503s 0.392000,-0.196000,3.920000
  5.503s 0.294000,-0.294000,4.018000
  5.503s 0.196000,-0.098000,3.920000
  5.503s 0.294000,-0.098000,3.920000
  5.503s 0.294000,-0.098000,4.116000
  5.503s 0.294000,-0.098000,3.822000
  5.503s 0.098000,-0.196000,4.116000
  5.503s 0.294000,0.000000,4.214000
  5.503s 0.196000,-0.098000,4.116000
  5.503s 0.294000,-0.294000,3.920000
  5.503s 0.196000,-0.098000,3.920000
  5.504s 0.294000,-0.098000,4.018000
  5.504s 0.294000,-0.098000,4.018000
  5.504s 0.294000,-0.098000,3.920000
  5.504s 0.294000,-0.098000,4.018000
  5.504s 0.196000,0.000000,3.822000
  5.504s 0.196000,0.000000,3.920000
  5.504s 0.392000,-0.098000,3.920000
  5.504s 0.294000,0.000000,3.920000
  5.504s 0.294000,-0.098000,3.822000
  5.504s 0.196000,-0.196000,4.116000
  5.504s 0.196000,-0.098000,4.018000
  5.504s 0.294000,-0.098000,3.822000
  5.504s 0.294000,-0.098000,4.018000
  5.505s 0.196000,0.098000,3.822000
  5.505s 0.294000,-0.098000,3.920000
  5.505s 0.196000,-0.098000,4.018000
  5.505s 0.490000,-0.196000,3.822000
  5.505s 0.294000,-0.098000,4.018000
  5.505s 0.098000,-0.098000,3.920000
  5.505s 0.294000,-0.196000,3.822000
  5.505s 0.196000,-0.098000,3.822000
  5.505s 0.294000,0.000000,3.920000
  5.505s 0.196000,-0.196000,4.018000
  5.505s 0.294000,-0.196000,4.018000
  5.505s 0.490000,-0.098000,4.018000
  5.505s 0.294000,-0.196000,4.018000
  5.506s 0.392000,-0.196000,4.018000
  5.506s 0.294000,-0.098000,4.018000
  5.506s 0.098000,-0.196000,4.018000
  5.506s 0.196000,-0.098000,4.018000
  5.506s 0.196000,-0.294000,4.018000
  5.506s 0.294000,-0.098000,3.822000
  5.506s 0.196000,0.098000,4.018000
  5.506s 0.392000,-0.196000,4.018000
  5.506s 0.294000,-0.196000,4.018000
  5.506s 0.196000,-0.098000,4.018000
  5.506s 0.392000,-0.098000,3.724000
  5.506s 0.392000,-0.196000,4.116000
  5.506s 0.196000,-0.098000,3.822000
  5.506s 0.196000,0.000000,4.018000
  5.507s 0.294000,-0.196000,4.018000
  5.507s 0.196000,0.000000,4.116000
  5.507s 0.196000,-0.098000,4.116000
  5.507s 0.196000,-0.098000,4.116000
  5.507s 0.392000,-0.098000,3.822000
  5.507s 0.294000,-0.098000,4.018000
  5.507s 0.098000,-0.098000,3.920000
  5.507s 0.196000,0.000000,4.018000
  5.507s 0.392000,-0.294000,4.116000
  5.507s 0.098000,-0.196000,4.116000
  5.507s 0.196000,-0.294000,4.116000
  5.507s 0.196000,-0.196000,4.018000
  5.507s 0.294000,-0.294000,4.018000
  5.508s 0.196000,-0.294000,3.920000
  5.508s 0.294000,-0.098000,3.822000
  5.508s 0.098000,-0.196000,3.920000
  5.508s 0.196000,-0.392000,4.018000
  5.508s 0.098000,-0.196000,3.822000
  5.508s 0.098000,-0.098000,3.920000
  5.508s 0.294000,0.000000,3.920000
  5.508s 0.196000,-0.294000,4.018000
  5.508s 0.294000,-0.098000,4.018000
  5.508s 0.196000,-0.196000,3.822000
  5.508s 0.196000,0.000000,3.822000
  5.508s 0.098000,-0.098000,4.018000
  5.508s 0.490000,-0.098000,4.214000
  5.508s 0.294000,-0.196000,3.920000
  5.509s 0.490000,-0.098000,4.018000
  5.509s 0.294000,-0.098000,3.920000
  5.509s 0.294000,-0.098000,3.822000
  5.509s 0.392000,-0.098000,3.920000
  5.509s 0.196000,-0.294000,3.920000
  5.509s 0.294000,-0.196000,3.920000
  5.509s 0.392000,-0.196000,4.018000
  5.509s 0.294000,-0.294000,3.920000
  5.509s 0.098000,-0.294000,3.920000
  5.509s 0.294000,-0.294000,4.214000
  5.509s 0.196000,-0.294000,3.920000
  5.509s 0.098000,-0.196000,4.116000
  5.509s 0.196000,-0.196000,3.920000
  5.510s 0.196000,-0.098000,4.116000
  5.510s 0.196000,-0.196000,3.920000
  5.510s 0.294000,0.000000,4.018000
  5.510s 0.294000,0.098000,3.822000
  5.510s 0.392000,-0.196000,3.920000
  5.510s 0.196000,0.000000,3.724000
  5.510s 0.196000,-0.196000,3.822000
  5.510s 0.294000,-0.098000,3.920000
  5.510s 0.196000,-0.098000,4.018000
  5.510s 0.294000,-0.196000,3.822000
  5.510s 0.196000,-0.098000,4.018000
  5.510s 0.196000,-0.294000,4.116000
  5.510s 0.294000,-0.196000,4.018000
  5.510s 0.098000,-0.196000,3.822000
  5.511s 0.294000,-0.294000,3.822000
  5.511s 0.294000,-0.098000,4.018000
  5.511s 0.196000,-0.196000,4.018000
  5.511s 0.196000,-0.098000,3.920000
  5.511s 0.294000,-0.196000,3.920000
  5.511s 0.392000,-0.196000,4.214000
  5.511s 0.098000,-0.294000,3.920000
  5.511s 0.294000,-0.196000,4.018000
  5.511s 0.392000,-0.098000,4.018000
  5.511s 0.196000,-0.196000,3.920000
  5.511s 0.196000,-0.196000,3.920000
  5.511s 0.294000,-0.196000,4.018000
  5.511s 0.294000,-0.196000,3.822000
  5.511s 0.098000,-0.294000,4.018000
  5.512s 0.294000,-0.196000,4.116000
  5.512s 0.196000,-0.098000,4.018000
  5.512s 0.294000,0.000000,3.920000
  5.512s 0.196000,-0.294000,4.018000
  5.512s 0.294000,-0.098000,4.018000
  5.512s 0.196000,-0.098000,3.822000
  5.512s 0.196000,-0.098000,3.822000
  5.512s 0.392000,-0.098000,3.920000
